unixtime,datetime,temperature,humidity
1485837002.04,"2017/01/31 13:30:02",24.585031,22.058442
1485837301.69,"2017/01/31 13:35:01",24.585031,22.827497
1485837601.68,"2017/01/31 13:40:01",24.605173,22.735943
1485837901.63,"2017/01/31 13:45:01",24.736095,22.442969
1485838202.19,"2017/01/31 13:50:02",24.776379,22.638285
1485838501.38,"2017/01/31 13:55:01",24.796521,22.925154
1485838801.96,"2017/01/31 14:00:01",24.836805,23.022812
1485839101.41,"2017/01/31 14:05:01",24.907301,22.839704
1485839401.46,"2017/01/31 14:10:01",24.877089,23.419547
1485839702.04,"2017/01/31 14:15:02",24.917372,24.005493
1485840002.04,"2017/01/31 14:20:02",24.57496,23.602655
1485840301.44,"2017/01/31 14:25:01",24.484321,24.182498
1485840601.65,"2017/01/31 14:30:01",24.433967,24.170291
1485840901.39,"2017/01/31 14:35:01",24.504463,23.993286
1485841201.91,"2017/01/31 14:40:01",24.433967,23.785763
1485841501.41,"2017/01/31 14:45:01",24.433967,23.883421
1485841801.32,"2017/01/31 14:50:01",24.47425,23.602655
1485842101.25,"2017/01/31 14:55:01",24.514534,23.504997
1485842401.97,"2017/01/31 15:00:01",24.534676,23.413443
1485842702.1,"2017/01/31 15:05:02",24.554818,23.315785
1485843001.57,"2017/01/31 15:10:01",24.665599,22.638285
1485843301.42,"2017/01/31 15:15:01",24.695811,22.638285
1485843601.8,"2017/01/31 15:20:01",24.695811,22.442969
1485843901.64,"2017/01/31 15:25:01",24.665599,22.638285
1485844201.88,"2017/01/31 15:30:01",24.68574,22.345312
1485844501.65,"2017/01/31 15:35:01",24.726024,22.247654
1485844801.37,"2017/01/31 15:40:01",24.705882,21.765469
1485845101.37,"2017/01/31 15:45:01",24.756237,22.247654
1485845401.98,"2017/01/31 15:50:01",24.756237,22.442969
1485845702.18,"2017/01/31 15:55:02",24.665599,22.827497
1485846002.2,"2017/01/31 16:00:02",24.705882,23.12047
1485846301.74,"2017/01/31 16:05:01",24.726024,22.827497
1485846601.54,"2017/01/31 16:10:01",24.726024,22.638285
1485846901.4,"2017/01/31 16:15:01",24.68574,22.638285
1485847202.03,"2017/01/31 16:20:02",24.68574,22.638285
1485847501.64,"2017/01/31 16:25:01",24.605173,22.540627
1485847801.37,"2017/01/31 16:30:01",24.554818,22.058442
1485848102.16,"2017/01/31 16:35:02",24.433967,21.948577
1485848401.39,"2017/01/31 16:40:01",24.353399,20.886549
1485848701.32,"2017/01/31 16:45:01",24.292973,20.788891
1485849002.09,"2017/01/31 16:50:02",24.212406,20.111391
1485849302.13,"2017/01/31 16:55:02",24.172122,19.916075
1485849601.69,"2017/01/31 17:00:01",24.111696,20.306706
1485849901.39,"2017/01/31 17:05:01",24.010986,20.099184
1485850201.7,"2017/01/31 17:10:01",23.920348,20.099184
1485850502.12,"2017/01/31 17:15:02",23.920348,19.427787
1485850801.94,"2017/01/31 17:20:01",23.869993,19.330129
1485851101.93,"2017/01/31 17:25:01",23.799496,19.037156
1485851401.42,"2017/01/31 17:30:01",23.759213,18.554971
1485851701.33,"2017/01/31 17:35:01",23.678645,18.451209
1485852002.15,"2017/01/31 17:40:02",23.588006,18.353552
1485852301.82,"2017/01/31 17:45:01",23.577935,18.353552
1485852602.11,"2017/01/31 17:50:02",23.467155,18.158236
1485852901.89,"2017/01/31 17:55:01",23.436942,18.060578
1485853201.96,"2017/01/31 18:00:01",23.406729,18.158236
1485853502.19,"2017/01/31 18:05:02",23.336233,17.859159
1485853801.71,"2017/01/31 18:10:01",23.245594,17.859159
1485854102.23,"2017/01/31 18:15:02",23.215381,18.054475
1485854401.57,"2017/01/31 18:20:01",23.20531,17.761501
1485854701.38,"2017/01/31 18:25:01",23.154955,17.761501
1485855001.9,"2017/01/31 18:30:01",23.064317,17.761501
1485855301.68,"2017/01/31 18:35:01",22.963607,17.560082
1485855602.14,"2017/01/31 18:40:02",22.943465,17.755398
1485855901.89,"2017/01/31 18:45:01",22.913252,17.853056
1485856201.59,"2017/01/31 18:50:01",22.933394,18.042267
1485856501.38,"2017/01/31 18:55:01",22.852827,18.042267
1485856802.09,"2017/01/31 19:00:02",22.78233,18.237583
1485857101.93,"2017/01/31 19:05:01",22.78233,18.432898
1485857401.55,"2017/01/31 19:10:01",22.78233,18.432898
1485857702.14,"2017/01/31 19:15:02",22.802472,18.817426
1485858002.05,"2017/01/31 19:20:02",22.78233,18.62211
1485858301.87,"2017/01/31 19:25:01",22.78233,18.817426
1485858601.75,"2017/01/31 19:30:01",22.721904,18.432898
1485858902.02,"2017/01/31 19:35:02",22.721904,18.719768
1485859201.71,"2017/01/31 19:40:01",22.701762,18.62211
1485859502.0,"2017/01/31 19:45:02",22.681621,18.530556
1485859802.0,"2017/01/31 19:50:01",22.621195,18.530556
1485860101.82,"2017/01/31 19:55:01",22.621195,18.62211
1485860401.44,"2017/01/31 20:00:01",22.540627,18.518349
1485860701.97,"2017/01/31 20:05:01",22.57084,18.432898
1485861002.18,"2017/01/31 20:10:02",22.500343,18.616007
1485861301.94,"2017/01/31 20:15:01",22.47013,18.713664
1485861601.72,"2017/01/31 20:20:01",22.288853,18.323033
1485861901.48,"2017/01/31 20:25:01",22.288853,18.036164
1485862202.14,"2017/01/31 20:30:02",22.288853,17.938506
1485862501.93,"2017/01/31 20:35:01",22.288853,18.713664
1485862802.15,"2017/01/31 20:40:02",22.349279,18.036164
1485863102.11,"2017/01/31 20:45:02",22.228428,17.651637
1485863402.04,"2017/01/31 20:50:02",22.218357,17.749294
1485863701.89,"2017/01/31 20:55:01",22.137789,17.737087
1485864002.12,"2017/01/31 21:00:02",22.097505,17.547875
1485864301.89,"2017/01/31 21:05:01",22.037079,17.450217
1485864601.87,"2017/01/31 21:10:01",22.137789,17.547875
1485864902.03,"2017/01/31 21:15:02",22.037079,17.254902
1485865201.3,"2017/01/31 21:20:01",22.037079,17.639429
1485865501.94,"2017/01/31 21:25:01",22.137789,17.450217
1485865801.69,"2017/01/31 21:30:01",22.107576,17.254902
1485866101.28,"2017/01/31 21:35:01",21.956512,16.968032
1485866401.87,"2017/01/31 21:40:01",21.926299,17.06569
1485866701.63,"2017/01/31 21:45:01",21.825589,17.254902
1485867001.89,"2017/01/31 21:50:01",21.775235,17.346456
1485867302.1,"2017/01/31 21:55:02",21.825589,17.06569
1485867601.78,"2017/01/31 22:00:01",21.926299,16.485847
1485867901.8,"2017/01/31 22:05:01",21.986725,16.192874
1485868202.02,"2017/01/31 22:10:02",21.926299,16.10132
1485868501.73,"2017/01/31 22:15:01",21.916228,16.192874
1485868801.54,"2017/01/31 22:20:01",21.926299,16.003662
1485869102.17,"2017/01/31 22:25:02",21.795377,15.899901
1485869401.97,"2017/01/31 22:30:01",21.734951,15.802243
1485869701.33,"2017/01/31 22:35:01",21.755093,15.704585
1485870001.83,"2017/01/31 22:40:01",21.694667,15.606928
1485870302.01,"2017/01/31 22:45:02",21.674525,15.515373
1485870601.48,"2017/01/31 22:50:01",21.604028,15.417716
1485870901.95,"2017/01/31 22:55:01",21.583886,15.417716
1485871201.78,"2017/01/31 23:00:01",21.452964,15.2224
1485871501.48,"2017/01/31 23:05:01",21.503319,15.2224
1485871802.25,"2017/01/31 23:10:02",21.483177,15.124743
1485872101.46,"2017/01/31 23:15:01",21.362325,15.118639
1485872401.49,"2017/01/31 23:20:01",21.372396,17.334249
1485872702.11,"2017/01/31 23:25:02",21.463035,19.848936
1485873001.89,"2017/01/31 23:30:01",21.452964,21.100175
1485873301.7,"2017/01/31 23:35:01",21.452964,21.484703
1485873601.95,"2017/01/31 23:40:01",21.432822,23.028916
1485873901.44,"2017/01/31 23:45:01",21.463035,23.028916
1485874202.03,"2017/01/31 23:50:02",21.483177,24.188602
1485874502.17,"2017/01/31 23:55:02",21.432822,24.377813
